status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
... < 100 DM,24.0,existing credits paid back duly till now,car (new),1207.0,... < 100 DM,... < 1 year,4.0,female : divorced/separated/married,none,4.0,building society savings agreement/life insurance,24.0,,rent,1.0,,1.0,no,,0
no checking account,10.0,existing credits paid back duly till now,car (new),1309.0,unknown/no savings account,1 <= ... < 4 years,4.0,,guarantor,4.0,building society savings agreement/life insurance,27.0,none,own,1.0,unskilled - resident,1.0,no,yes,0
... >= 200 DM / salary for at least 1 year,15.0,critical account/other credits existing,car (used),2360.0,500 <= ... < 1000 DM,1 <= ... < 4 years,2.0,male : single,none,2.0,car or other,36.0,none,own,1.0,skilled employee/official,1.0,yes,yes,1
,15.0,,car (new),6850.0,100 <= ... < 500 DM,unemployed,1.0,male : single,none,2.0,building society savings agreement/life insurance,34.0,none,own,1.0,management/self-employed/highly qualified employee/officer,2.0,yes,yes,0
no checking account,24.0,existing credits paid back duly till now,domestic appliances,1413.0,... < 100 DM,1 <= ... < 4 years,4.0,,none,2.0,building society savings agreement/life insurance,28.0,none,own,,skilled employee/official,1.0,no,yes,1
,,existing credits paid back duly till now,car (used),8588.0,100 <= ... < 500 DM,,4.0,male : single,none,2.0,car or other,,none,own,1.0,,1.0,,yes,1
... < 100 DM,12.0,existing credits paid back duly till now,car (new),759.0,... < 100 DM,4 <= ... < 7 years,4.0,male : single,,2.0,real estate,26.0,none,own,1.0,skilled employee/official,,no,yes,0
no checking account,36.0,,car (used),4686.0,... < 100 DM,1 <= ... < 4 years,2.0,male : single,,2.0,unknown/no property,32.0,none,for free,1.0,,1.0,,yes,1
... >= 200 DM / salary for at least 1 year,15.0,existing credits paid back duly till now,others,,... < 100 DM,4 <= ... < 7 years,2.0,male : single,none,4.0,building society savings agreement/life insurance,26.0,none,rent,1.0,skilled employee/official,1.0,yes,yes,1
0 <= ... < 200 DM,12.0,delay in paying off in the past,domestic appliances,585.0,... < 100 DM,1 <= ... < 4 years,4.0,male : married/widowed,,4.0,real estate,20.0,none,rent,2.0,skilled employee/official,,no,yes,1
no checking account,24.0,existing credits paid back duly till now,car (new),2255.0,unknown/no savings account,... < 1 year,4.0,,none,1.0,building society savings agreement/life insurance,,none,,1.0,skilled employee/official,1.0,no,yes,1
... < 100 DM,6.0,critical account/other credits existing,car (new),609.0,... < 100 DM,4 <= ... < 7 years,4.0,female : divorced/separated/married,none,3.0,building society savings agreement/life insurance,,none,own,2.0,skilled employee/official,1.0,,,1
... < 100 DM,6.0,critical account/other credits existing,car (new),,... < 100 DM,... < 1 year,2.0,male : single,none,4.0,real estate,40.0,none,own,1.0,unskilled - resident,2.0,no,,1
no checking account,36.0,critical account/other credits existing,,7127.0,... < 100 DM,... < 1 year,2.0,female : divorced/separated/married,,4.0,,23.0,,rent,2.0,skilled employee/official,1.0,yes,yes,0
... < 100 DM,6.0,existing credits paid back duly till now,car (new),1203.0,,... >= 7 years,,male : single,none,2.0,,43.0,none,own,,skilled employee/official,1.0,yes,yes,1
no checking account,6.0,critical account/other credits existing,domestic appliances,700.0,unknown/no savings account,... >= 7 years,4.0,male : single,none,4.0,unknown/no property,,none,for free,2.0,skilled employee/official,1.0,no,,1
no checking account,24.0,critical account/other credits existing,education,5507.0,... < 100 DM,... >= 7 years,3.0,male : single,none,,,44.0,none,for free,2.0,skilled employee/official,1.0,no,yes,1
... < 100 DM,18.0,existing credits paid back duly till now,domestic appliances,3190.0,... < 100 DM,1 <= ... < 4 years,2.0,female : divorced/separated/married,none,2.0,real estate,24.0,none,own,1.0,skilled employee/official,1.0,no,yes,0
... < 100 DM,48.0,no credits taken/all credits paid back duly,,7119.0,... < 100 DM,,3.0,male : single,none,4.0,unknown/no property,53.0,none,for free,2.0,skilled employee/official,2.0,no,yes,0
no checking account,24.0,existing credits paid back duly till now,car (used),3488.0,100 <= ... < 500 DM,4 <= ... < 7 years,3.0,female : divorced/separated/married,none,4.0,car or other,23.0,none,,1.0,,1.0,no,yes,1
0 <= ... < 200 DM,18.0,existing credits paid back duly till now,domestic appliances,1113.0,... < 100 DM,1 <= ... < 4 years,4.0,female : divorced/separated/married,guarantor,4.0,real estate,26.0,none,,1.0,,2.0,no,yes,1
0 <= ... < 200 DM,26.0,existing credits paid back duly till now,car (used),7966.0,... < 100 DM,... < 1 year,2.0,,none,3.0,car or other,30.0,none,own,2.0,skilled employee/official,1.0,no,yes,1
no checking account,15.0,critical account/other credits existing,retraining,1532.0,100 <= ... < 500 DM,1 <= ... < 4 years,4.0,female : divorced/separated/married,none,3.0,car or other,31.0,none,own,1.0,,1.0,no,,1
no checking account,,,domestic appliances,1503.0,... < 100 DM,4 <= ... < 7 years,2.0,male : single,none,1.0,real estate,42.0,none,own,2.0,,2.0,no,yes,1
... < 100 DM,36.0,existing credits paid back duly till now,domestic appliances,,... < 100 DM,1 <= ... < 4 years,4.0,,none,4.0,car or other,31.0,none,rent,1.0,skilled employee/official,1.0,no,yes,0
... < 100 DM,6.0,existing credits paid back duly till now,car (new),,... < 100 DM,... < 1 year,3.0,male : single,none,4.0,real estate,41.0,none,,1.0,unskilled - resident,2.0,yes,yes,1
0 <= ... < 200 DM,,existing credits paid back duly till now,retraining,2273.0,... < 100 DM,4 <= ... < 7 years,3.0,male : single,none,1.0,car or other,32.0,none,own,2.0,skilled employee/official,2.0,no,,1
0 <= ... < 200 DM,15.0,existing credits paid back duly till now,car (new),2631.0,,1 <= ... < 4 years,2.0,female : divorced/separated/married,none,4.0,car or other,28.0,none,rent,2.0,skilled employee/official,1.0,yes,yes,0
no checking account,12.0,delay in paying off in the past,car (used),1503.0,... < 100 DM,1 <= ... < 4 years,4.0,male : married/widowed,none,4.0,real estate,41.0,none,rent,1.0,skilled employee/official,1.0,no,yes,1
no checking account,,existing credits paid back duly till now,domestic appliances,1311.0,100 <= ... < 500 DM,,,male : married/widowed,none,3.0,building society savings agreement/life insurance,26.0,none,own,1.0,skilled employee/official,1.0,yes,yes,1
no checking account,24.0,existing credits paid back duly till now,domestic appliances,,unknown/no savings account,... < 1 year,4.0,male : single,none,2.0,,25.0,,,2.0,skilled employee/official,,no,yes,1
... >= 200 DM / salary for at least 1 year,21.0,critical account/other credits existing,retraining,2319.0,... < 100 DM,... < 1 year,2.0,male : divorced/separated,none,1.0,car or other,33.0,none,rent,1.0,skilled employee/official,1.0,no,yes,0
... < 100 DM,6.0,existing credits paid back duly till now,,,unknown/no savings account,unemployed,4.0,female : divorced/separated/married,none,3.0,building society savings agreement/life insurance,75.0,none,own,1.0,management/self-employed/highly qualified employee/officer,1.0,yes,,1
0 <= ... < 200 DM,18.0,critical account/other credits existing,radio/television,,,... >= 7 years,3.0,,none,4.0,building society savings agreement/life insurance,,none,own,1.0,skilled employee/official,,yes,yes,1
... < 100 DM,,existing credits paid back duly till now,car (new),7763.0,... < 100 DM,... >= 7 years,4.0,male : single,,4.0,unknown/no property,42.0,bank,for free,1.0,management/self-employed/highly qualified employee/officer,1.0,,yes,0
... >= 200 DM / salary for at least 1 year,18.0,existing credits paid back duly till now,radio/television,3049.0,... < 100 DM,,,female : divorced/separated/married,none,1.0,building society savings agreement/life insurance,,stores,,1.0,unskilled - resident,,no,yes,1
0 <= ... < 200 DM,12.0,existing credits paid back duly till now,domestic appliances,1534.0,... < 100 DM,... < 1 year,,male : married/widowed,none,,real estate,23.0,none,rent,,skilled employee/official,1.0,no,yes,0
no checking account,24.0,delay in paying off in the past,car (new),2032.0,... < 100 DM,... >= 7 years,4.0,,none,,,60.0,none,for free,2.0,skilled employee/official,1.0,yes,yes,1
... < 100 DM,30.0,,radio/television,6350.0,unknown/no savings account,... >= 7 years,4.0,male : single,none,4.0,building society savings agreement/life insurance,31.0,none,own,1.0,skilled employee/official,1.0,no,yes,0
... >= 200 DM / salary for at least 1 year,18.0,existing credits paid back duly till now,radio/television,2864.0,... < 100 DM,1 <= ... < 4 years,2.0,male : single,none,1.0,real estate,34.0,,own,1.0,unskilled - resident,2.0,no,,0
no checking account,12.0,critical account/other credits existing,car (new),1255.0,... < 100 DM,... >= 7 years,4.0,male : single,none,4.0,real estate,61.0,none,own,2.0,unskilled - resident,1.0,no,yes,1
... < 100 DM,24.0,delay in paying off in the past,car (new),1333.0,... < 100 DM,unemployed,,male : single,none,2.0,,43.0,none,for free,,skilled employee/official,2.0,no,yes,0
no checking account,24.0,critical account/other credits existing,car (new),2022.0,... < 100 DM,1 <= ... < 4 years,4.0,female : divorced/separated/married,none,4.0,car or other,37.0,none,own,,skilled employee/official,1.0,yes,,1
,24.0,existing credits paid back duly till now,domestic appliances,,... < 100 DM,4 <= ... < 7 years,3.0,male : single,none,1.0,car or other,32.0,,own,,skilled employee/official,2.0,,yes,1
... < 100 DM,12.0,all credits at this bank paid back duly,domestic appliances,626.0,,1 <= ... < 4 years,4.0,female : divorced/separated/married,none,,real estate,,bank,own,1.0,unskilled - resident,1.0,no,yes,0
no checking account,,critical account/other credits existing,car (used),8858.0,unknown/no savings account,4 <= ... < 7 years,2.0,male : single,none,1.0,,35.0,,for free,2.0,skilled employee/official,1.0,,,1
no checking account,,critical account/other credits existing,education,996.0,unknown/no savings account,,4.0,female : divorced/separated/married,none,,real estate,23.0,none,own,2.0,skilled employee/official,1.0,no,yes,1
no checking account,,all credits at this bank paid back duly,domestic appliances,1750.0,,... >= 7 years,2.0,male : single,,4.0,building society savings agreement/life insurance,45.0,bank,own,1.0,,,no,yes,1
,48.0,existing credits paid back duly till now,domestic appliances,6999.0,... < 100 DM,4 <= ... < 7 years,1.0,male : married/widowed,guarantor,,real estate,,none,own,2.0,skilled employee/official,1.0,yes,yes,0
0 <= ... < 200 DM,12.0,critical account/other credits existing,car (new),1995.0,100 <= ... < 500 DM,... < 1 year,4.0,male : single,none,1.0,,27.0,,,,skilled employee/official,1.0,,yes,1
0 <= ... < 200 DM,9.0,existing credits paid back duly till now,retraining,1199.0,... < 100 DM,4 <= ... < 7 years,4.0,female : divorced/separated/married,,4.0,building society savings agreement/life insurance,67.0,none,own,2.0,management/self-employed/highly qualified employee/officer,,yes,yes,1
0 <= ... < 200 DM,12.0,existing credits paid back duly till now,domestic appliances,1331.0,... < 100 DM,... < 1 year,2.0,male : single,none,1.0,car or other,22.0,stores,own,1.0,skilled employee/official,1.0,no,,0
0 <= ... < 200 DM,18.0,no credits taken/all credits paid back duly,,2278.0,100 <= ... < 500 DM,... < 1 year,3.0,female : divorced/separated/married,,,,28.0,none,own,2.0,skilled employee/official,1.0,no,yes,0
no checking account,21.0,no credits taken/all credits paid back duly,car (new),5003.0,unknown/no savings account,1 <= ... < 4 years,1.0,female : divorced/separated/married,none,4.0,building society savings agreement/life insurance,29.0,bank,own,,,1.0,yes,yes,0
... < 100 DM,24.0,all credits at this bank paid back duly,radio/television,3552.0,... < 100 DM,4 <= ... < 7 years,3.0,male : single,,4.0,car or other,27.0,bank,,1.0,skilled employee/official,1.0,no,yes,0
,18.0,critical account/other credits existing,radio/television,1928.0,... < 100 DM,... < 1 year,,male : single,none,2.0,real estate,31.0,none,own,,unskilled - resident,1.0,no,yes,0
... < 100 DM,24.0,existing credits paid back duly till now,car (used),2964.0,unknown/no savings account,... >= 7 years,4.0,,none,4.0,unknown/no property,49.0,bank,for free,1.0,,2.0,yes,yes,1
... < 100 DM,24.0,all credits at this bank paid back duly,domestic appliances,1546.0,... < 100 DM,,4.0,male : single,guarantor,4.0,car or other,24.0,bank,rent,1.0,unskilled - resident,1.0,no,,0
,6.0,delay in paying off in the past,domestic appliances,683.0,... < 100 DM,... < 1 year,2.0,female : divorced/separated/married,,1.0,building society savings agreement/life insurance,29.0,,own,1.0,skilled employee/official,1.0,no,yes,1
0 <= ... < 200 DM,,existing credits paid back duly till now,car (new),12389.0,unknown/no savings account,1 <= ... < 4 years,1.0,male : single,none,4.0,unknown/no property,,none,for free,,skilled employee/official,1.0,yes,yes,0
,24.0,,,4712.0,unknown/no savings account,1 <= ... < 4 years,4.0,male : single,none,2.0,building society savings agreement/life insurance,37.0,bank,own,,management/self-employed/highly qualified employee/officer,1.0,,yes,1
0 <= ... < 200 DM,24.0,delay in paying off in the past,,1553.0,100 <= ... < 500 DM,4 <= ... < 7 years,,female : divorced/separated/married,none,2.0,building society savings agreement/life insurance,23.0,none,,2.0,skilled employee/official,,,,1
... < 100 DM,12.0,existing credits paid back duly till now,car (new),1372.0,... < 100 DM,4 <= ... < 7 years,2.0,male : divorced/separated,none,3.0,car or other,,,own,1.0,,1.0,no,yes,0
no checking account,24.0,,domestic appliances,2578.0,... >= 1000 DM,... >= 7 years,,male : single,none,2.0,car or other,34.0,none,own,1.0,,1.0,no,yes,1
0 <= ... < 200 DM,48.0,existing credits paid back duly till now,domestic appliances,3979.0,unknown/no savings account,4 <= ... < 7 years,4.0,male : single,none,1.0,car or other,41.0,none,own,2.0,skilled employee/official,2.0,yes,,1
... < 100 DM,48.0,existing credits paid back duly till now,domestic appliances,6758.0,... < 100 DM,1 <= ... < 4 years,3.0,female : divorced/separated/married,,2.0,car or other,31.0,,own,,skilled employee/official,1.0,yes,yes,0
... < 100 DM,,existing credits paid back duly till now,radio/television,,... < 100 DM,... < 1 year,4.0,female : divorced/separated/married,none,4.0,real estate,23.0,none,rent,1.0,unskilled - resident,1.0,yes,yes,0
no checking account,30.0,critical account/other credits existing,domestic appliances,5954.0,... < 100 DM,4 <= ... < 7 years,,,co-applicant,2.0,car or other,38.0,none,own,1.0,skilled employee/official,1.0,,yes,1
no checking account,24.0,existing credits paid back duly till now,car (used),5433.0,,unemployed,2.0,female : divorced/separated/married,none,4.0,building society savings agreement/life insurance,26.0,none,rent,1.0,management/self-employed/highly qualified employee/officer,1.0,yes,yes,1
... < 100 DM,15.0,existing credits paid back duly till now,others,806.0,... < 100 DM,1 <= ... < 4 years,4.0,female : divorced/separated/married,none,4.0,building society savings agreement/life insurance,22.0,none,own,1.0,unskilled - resident,1.0,,,1
,9.0,existing credits paid back duly till now,domestic appliances,1082.0,... < 100 DM,... >= 7 years,,male : single,none,4.0,car or other,27.0,none,own,2.0,unskilled - resident,1.0,no,yes,1
no checking account,,,radio/television,2788.0,... < 100 DM,,2.0,female : divorced/separated/married,co-applicant,,car or other,24.0,bank,,2.0,,1.0,no,yes,1
0 <= ... < 200 DM,12.0,existing credits paid back duly till now,domestic appliances,,... < 100 DM,4 <= ... < 7 years,2.0,,none,1.0,real estate,27.0,none,own,1.0,skilled employee/official,1.0,no,,1
,24.0,critical account/other credits existing,retraining,1927.0,unknown/no savings account,,3.0,female : divorced/separated/married,,2.0,car or other,,none,own,,skilled employee/official,1.0,yes,yes,1
0 <= ... < 200 DM,36.0,critical account/other credits existing,car (new),2820.0,,... < 1 year,4.0,male : divorced/separated,none,4.0,car or other,27.0,,own,2.0,skilled employee/official,1.0,,yes,0
,24.0,existing credits paid back duly till now,business,937.0,... < 100 DM,... < 1 year,4.0,male : married/widowed,none,3.0,car or other,27.0,none,own,2.0,unskilled - resident,1.0,no,yes,1
0 <= ... < 200 DM,18.0,critical account/other credits existing,car (new),1056.0,... < 100 DM,... >= 7 years,,male : single,guarantor,3.0,real estate,30.0,bank,own,2.0,,1.0,no,yes,0
0 <= ... < 200 DM,,critical account/other credits existing,car (new),3124.0,... < 100 DM,... < 1 year,1.0,male : single,none,3.0,,49.0,bank,own,,unskilled - resident,2.0,no,yes,1
no checking account,9.0,existing credits paid back duly till now,,1388.0,... < 100 DM,1 <= ... < 4 years,4.0,female : divorced/separated/married,,2.0,real estate,26.0,none,rent,1.0,skilled employee/official,1.0,no,yes,1
0 <= ... < 200 DM,36.0,existing credits paid back duly till now,education,2384.0,,... < 1 year,4.0,male : single,none,1.0,unknown/no property,33.0,none,rent,,unskilled - resident,1.0,no,,0
no checking account,12.0,existing credits paid back duly till now,car (new),2133.0,unknown/no savings account,... >= 7 years,4.0,female : divorced/separated/married,none,4.0,unknown/no property,52.0,none,for free,1.0,,1.0,yes,yes,1
... < 100 DM,18.0,existing credits paid back duly till now,radio/television,2039.0,... < 100 DM,,1.0,female : divorced/separated/married,none,4.0,real estate,20.0,bank,rent,1.0,skilled employee/official,1.0,no,yes,0
... < 100 DM,9.0,critical account/other credits existing,car (new),2799.0,... < 100 DM,1 <= ... < 4 years,2.0,male : single,none,2.0,real estate,36.0,none,rent,2.0,skilled employee/official,2.0,no,yes,1
... < 100 DM,12.0,existing credits paid back duly till now,,1289.0,,,4.0,male : single,,1.0,building society savings agreement/life insurance,21.0,,own,1.0,unskilled - resident,,no,yes,1
... < 100 DM,18.0,,repairs,1217.0,... < 100 DM,1 <= ... < 4 years,4.0,male : married/widowed,none,3.0,real estate,47.0,none,own,1.0,unskilled - resident,1.0,yes,yes,0
... < 100 DM,12.0,critical account/other credits existing,radio/television,2246.0,... < 100 DM,... >= 7 years,3.0,male : single,none,,building society savings agreement/life insurance,60.0,none,own,2.0,skilled employee/official,,no,,0
... < 100 DM,12.0,critical account/other credits existing,domestic appliances,385.0,... < 100 DM,4 <= ... < 7 years,4.0,female : divorced/separated/married,none,3.0,real estate,58.0,none,own,4.0,unskilled - resident,1.0,yes,yes,1
0 <= ... < 200 DM,24.0,delay in paying off in the past,car (new),1965.0,unknown/no savings account,1 <= ... < 4 years,4.0,female : divorced/separated/married,none,4.0,car or other,,none,rent,2.0,skilled employee/official,1.0,yes,yes,1
no checking account,21.0,existing credits paid back duly till now,others,1572.0,... >= 1000 DM,... >= 7 years,4.0,female : divorced/separated/married,none,4.0,real estate,36.0,bank,own,1.0,,,no,yes,1
0 <= ... < 200 DM,24.0,,car (new),,... < 100 DM,1 <= ... < 4 years,,female : divorced/separated/married,,4.0,building society savings agreement/life insurance,20.0,none,rent,1.0,unskilled - resident,,,yes,0
... < 100 DM,24.0,all credits at this bank paid back duly,furniture/equipment,1358.0,unknown/no savings account,... >= 7 years,4.0,male : single,,3.0,car or other,40.0,stores,own,1.0,management/self-employed/highly qualified employee/officer,1.0,yes,yes,0
0 <= ... < 200 DM,6.0,all credits at this bank paid back duly,car (new),931.0,100 <= ... < 500 DM,... < 1 year,1.0,female : divorced/separated/married,none,1.0,building society savings agreement/life insurance,32.0,stores,own,1.0,,1.0,,,0
... < 100 DM,24.0,,car (new),1442.0,... < 100 DM,,4.0,female : divorced/separated/married,none,4.0,car or other,23.0,none,rent,2.0,skilled employee/official,1.0,no,yes,0
,24.0,no credits taken/all credits paid back duly,others,4241.0,... < 100 DM,,1.0,male : single,,4.0,real estate,36.0,none,own,3.0,unskilled - resident,1.0,yes,yes,0
no checking account,18.0,critical account/other credits existing,car (new),2775.0,... < 100 DM,4 <= ... < 7 years,2.0,male : single,none,2.0,building society savings agreement/life insurance,,bank,own,2.0,skilled employee/official,1.0,no,yes,0
no checking account,24.0,,others,3863.0,... < 100 DM,1 <= ... < 4 years,1.0,male : single,none,2.0,unknown/no property,,none,,1.0,skilled employee/official,1.0,no,yes,1
0 <= ... < 200 DM,7.0,existing credits paid back duly till now,domestic appliances,2329.0,... < 100 DM,... < 1 year,,,guarantor,1.0,real estate,45.0,none,own,1.0,skilled employee/official,1.0,no,yes,1
0 <= ... < 200 DM,9.0,existing credits paid back duly till now,radio/television,918.0,... < 100 DM,1 <= ... < 4 years,4.0,female : divorced/separated/married,none,1.0,building society savings agreement/life insurance,30.0,none,own,,skilled employee/official,1.0,no,,0
0 <= ... < 200 DM,24.0,all credits at this bank paid back duly,retraining,1837.0,... < 100 DM,4 <= ... < 7 years,4.0,female : divorced/separated/married,none,4.0,unknown/no property,34.0,bank,for free,1.0,unskilled - resident,1.0,,yes,0
no checking account,36.0,existing credits paid back duly till now,radio/television,3349.0,... < 100 DM,1 <= ... < 4 years,,female : divorced/separated/married,none,,car or other,28.0,none,own,1.0,management/self-employed/highly qualified employee/officer,1.0,yes,yes,0
... >= 200 DM / salary for at least 1 year,10.0,existing credits paid back duly till now,radio/television,1275.0,... < 100 DM,... < 1 year,4.0,female : divorced/separated/married,none,2.0,,,,own,1.0,skilled employee/official,1.0,no,yes,1
... < 100 DM,24.0,all credits at this bank paid back duly,radio/television,2828.0,500 <= ... < 1000 DM,1 <= ... < 4 years,4.0,male : single,none,4.0,real estate,22.0,stores,own,1.0,skilled employee/official,1.0,yes,yes,1
no checking account,24.0,critical account/other credits existing,others,,... < 100 DM,1 <= ... < 4 years,3.0,male : single,,2.0,,74.0,none,own,1.0,management/self-employed/highly qualified employee/officer,1.0,yes,yes,1
0 <= ... < 200 DM,36.0,existing credits paid back duly till now,domestic appliances,2671.0,100 <= ... < 500 DM,1 <= ... < 4 years,4.0,female : divorced/separated/married,co-applicant,,unknown/no property,50.0,none,for free,1.0,skilled employee/official,,no,yes,0
no checking account,18.0,existing credits paid back duly till now,domestic appliances,2051.0,... < 100 DM,... < 1 year,4.0,male : single,none,1.0,real estate,33.0,none,own,1.0,skilled employee/official,1.0,no,yes,1
no checking account,15.0,existing credits paid back duly till now,,,unknown/no savings account,... >= 7 years,,male : single,none,4.0,unknown/no property,45.0,bank,,1.0,skilled employee/official,2.0,,yes,1
... < 100 DM,12.0,existing credits paid back duly till now,,,100 <= ... < 500 DM,,,female : divorced/separated/married,none,3.0,building society savings agreement/life insurance,22.0,,own,1.0,skilled employee/official,,,,0
... >= 200 DM / salary for at least 1 year,10.0,existing credits paid back duly till now,car (new),1240.0,100 <= ... < 500 DM,... >= 7 years,1.0,female : divorced/separated/married,none,4.0,unknown/no property,48.0,none,for free,1.0,unskilled - resident,2.0,no,yes,0
... < 100 DM,21.0,existing credits paid back duly till now,domestic appliances,3357.0,,... < 1 year,4.0,female : divorced/separated/married,none,2.0,car or other,29.0,bank,own,1.0,skilled employee/official,1.0,no,yes,1
... < 100 DM,,all credits at this bank paid back duly,car (used),3632.0,... < 100 DM,1 <= ... < 4 years,,female : divorced/separated/married,guarantor,4.0,,22.0,bank,rent,1.0,skilled employee/official,1.0,no,no,1
no checking account,,delay in paying off in the past,radio/television,1808.0,... < 100 DM,4 <= ... < 7 years,4.0,female : divorced/separated/married,none,1.0,real estate,22.0,none,own,1.0,skilled employee/official,1.0,no,yes,0
0 <= ... < 200 DM,48.0,no credits taken/all credits paid back duly,,12204.0,unknown/no savings account,,2.0,male : single,none,2.0,,,bank,,1.0,management/self-employed/highly qualified employee/officer,1.0,yes,,1
,60.0,delay in paying off in the past,domestic appliances,,unknown/no savings account,1 <= ... < 4 years,,male : single,none,2.0,unknown/no property,27.0,,for free,1.0,management/self-employed/highly qualified employee/officer,1.0,no,yes,1
... < 100 DM,6.0,critical account/other credits existing,car (new),3676.0,... < 100 DM,1 <= ... < 4 years,1.0,male : single,none,3.0,real estate,37.0,none,rent,3.0,skilled employee/official,2.0,no,yes,1
0 <= ... < 200 DM,30.0,existing credits paid back duly till now,radio/television,3441.0,100 <= ... < 500 DM,,,female : divorced/separated/married,co-applicant,4.0,car or other,21.0,none,rent,1.0,skilled employee/official,1.0,no,yes,0
,12.0,existing credits paid back duly till now,car (new),640.0,... < 100 DM,1 <= ... < 4 years,4.0,male : divorced/separated,none,,real estate,49.0,none,own,1.0,,1.0,no,yes,1
,21.0,critical account/other credits existing,others,3652.0,... < 100 DM,,2.0,male : single,none,3.0,building society savings agreement/life insurance,27.0,none,own,2.0,skilled employee/official,1.0,no,yes,1
,18.0,critical account/other credits existing,car (new),1530.0,... < 100 DM,1 <= ... < 4 years,3.0,male : single,none,,building society savings agreement/life insurance,32.0,bank,own,2.0,skilled employee/official,1.0,no,yes,0
no checking account,48.0,existing credits paid back duly till now,others,3914.0,unknown/no savings account,1 <= ... < 4 years,4.0,male : divorced/separated,none,2.0,real estate,38.0,bank,own,1.0,skilled employee/official,1.0,no,yes,0
... < 100 DM,12.0,existing credits paid back duly till now,,1858.0,,... < 1 year,4.0,female : divorced/separated/married,none,1.0,,,none,,1.0,skilled employee/official,1.0,no,yes,1
... < 100 DM,18.0,existing credits paid back duly till now,domestic appliances,2600.0,... < 100 DM,1 <= ... < 4 years,4.0,male : single,none,4.0,unknown/no property,,none,for free,,skilled employee/official,1.0,no,yes,0
no checking account,15.0,existing credits paid back duly till now,domestic appliances,1979.0,unknown/no savings account,... >= 7 years,4.0,,none,2.0,car or other,35.0,none,own,1.0,skilled employee/official,,no,,1
,,existing credits paid back duly till now,radio/television,2116.0,... < 100 DM,1 <= ... < 4 years,2.0,male : single,none,2.0,real estate,41.0,none,own,1.0,skilled employee/official,1.0,yes,yes,1
0 <= ... < 200 DM,9.0,all credits at this bank paid back duly,car (new),,100 <= ... < 500 DM,4 <= ... < 7 years,2.0,male : single,none,3.0,unknown/no property,29.0,none,,1.0,skilled employee/official,1.0,,yes,0
,42.0,critical account/other credits existing,radio/television,4042.0,500 <= ... < 1000 DM,1 <= ... < 4 years,4.0,male : single,none,4.0,real estate,36.0,none,own,2.0,skilled employee/official,1.0,,yes,1
no checking account,9.0,existing credits paid back duly till now,retraining,,unknown/no savings account,... >= 7 years,1.0,,none,4.0,real estate,64.0,none,own,1.0,unskilled - resident,1.0,no,yes,1
... < 100 DM,24.0,existing credits paid back duly till now,domestic appliances,3660.0,... < 100 DM,1 <= ... < 4 years,2.0,female : divorced/separated/married,none,4.0,car or other,28.0,none,own,1.0,skilled employee/official,1.0,no,yes,1
... < 100 DM,18.0,all credits at this bank paid back duly,radio/television,1553.0,... < 100 DM,1 <= ... < 4 years,4.0,male : single,none,,,44.0,bank,own,1.0,,1.0,no,yes,0
0 <= ... < 200 DM,15.0,existing credits paid back duly till now,,1444.0,unknown/no savings account,... < 1 year,4.0,male : single,none,1.0,building society savings agreement/life insurance,23.0,none,,1.0,skilled employee/official,1.0,no,,1
,9.0,existing credits paid back duly till now,radio/television,1980.0,... < 100 DM,... < 1 year,2.0,female : divorced/separated/married,co-applicant,2.0,car or other,19.0,,rent,2.0,skilled employee/official,1.0,,yes,0
0 <= ... < 200 DM,24.0,existing credits paid back duly till now,car (new),1355.0,... < 100 DM,... < 1 year,3.0,female : divorced/separated/married,none,4.0,car or other,25.0,none,own,1.0,unskilled - resident,1.0,,yes,0
no checking account,,existing credits paid back duly till now,retraining,1393.0,... < 100 DM,,4.0,male : single,none,,building society savings agreement/life insurance,,bank,own,3.0,,2.0,,yes,1
,24.0,,domestic appliances,1376.0,500 <= ... < 1000 DM,4 <= ... < 7 years,,female : divorced/separated/married,none,1.0,car or other,28.0,,own,1.0,skilled employee/official,,no,yes,1
no checking account,60.0,delay in paying off in the past,domestic appliances,15653.0,... < 100 DM,,2.0,male : single,none,4.0,car or other,21.0,none,own,2.0,skilled employee/official,1.0,yes,yes,1
no checking account,,existing credits paid back duly till now,domestic appliances,1493.0,... < 100 DM,... < 1 year,,female : divorced/separated/married,none,3.0,car or other,,,,1.0,skilled employee/official,2.0,no,,1
... < 100 DM,42.0,delay in paying off in the past,,4370.0,... < 100 DM,4 <= ... < 7 years,,male : single,,2.0,,26.0,bank,own,2.0,,2.0,yes,yes,0
,18.0,existing credits paid back duly till now,retraining,750.0,... < 100 DM,unemployed,4.0,female : divorced/separated/married,none,1.0,real estate,27.0,none,,1.0,unemployed/unskilled - non-resident,1.0,no,yes,0
0 <= ... < 200 DM,15.0,existing credits paid back duly till now,education,1308.0,... < 100 DM,... >= 7 years,,male : single,none,,,,none,own,,unskilled - resident,1.0,no,yes,1
no checking account,15.0,existing credits paid back duly till now,retraining,4623.0,100 <= ... < 500 DM,1 <= ... < 4 years,3.0,male : single,none,2.0,building society savings agreement/life insurance,,none,own,1.0,management/self-employed/highly qualified employee/officer,1.0,yes,yes,0
